Address,Age of annuitant 1,Age of annuitant 2,Air conditioning,Alarm,As built plan,"As property tenant or owner, insure your real estate: fire, theft, water damage, storm, ...",Asking price excluding VAT and excl. notary fees (excluding eventual registration fees on the ground),Asking price excluding registration fees and excl. notary fees,Attic,Attic accesible with fixed stairs,Available as of,Bathrooms,Bedroom 1 area,Bedroom 2 area,Bedroom 3 area,Bedroom 4 area,Bedroom 5 area,Bedrooms,Building condition,CO₂ emission,Cable TV,Cadastral income,Cellar,Cellar area,Conformity certification for fuel tanks,Connection to sewer network,Current monthly revenue,Depth of plot,Dining room,Dining room area,Disabled access,Distance to school,Distance to shop,Distance to transports,District or place name,Double glazing,Dressing room,EPC - Energy consumption,EPC score,Find the mortgage formula and a borrowing rate that suits you the best!,Fireplaces,Flat land,Furnished,Garden,Garden area,Heat pump,Heating,Indexed annuity,Indoor parking spaces,Inspection report of the electrical installation,Intercom,Isolated attic,Jacuzzi,Kitchen area,Kitchen setup,Latest land use designation,Laundry room,Life annuity type,Lift,Living room,Living room area,Monthly annuity,Monthly charges,Name of the building,Net floor area,Newly built,Number of dwellings,Number of floors,Number of frontages,Number of lives,Number of outbuildings,Number of rooms,Office,Office area,Orientation,Orientation terrace,Outdoor parking spaces,Photovoltaic solar panels,Planning permission obtained,Plot area,Plot to front,Plot to rear,Possible priority purchase right,Proceedings for breach of planning regulations,Reference number of the EPC report,Reinforced door,Requested sale price,Reversionary annuity,Sauna,Setting,Shower rooms,Subdivision permit,Swimming pool,Tenement building,Terrace,Terrace area,Theoretical total energy consumption,Thermic solar panels,"To ensure your payments and your family safety in case of early death, you can take a Decreasing life insurance.",Toilets,Town planning,Type of flood-risk area,Value of the property,Width of plot to street,Width of street façade,Wooded land,Workspace,Workspace area,Year of construction
Tongersesteenweg 205        | 3770 - Riemst,,,,yes,no,Choose your home insurance,,,,,bij akte na betaling - bij akte na betaling - bij,1,18 m2,13 m2,12 m2,,,3,Good condition,,,€ 873,yes,,"yes, conform",,,,yes,12 m2,,"1,991 m",,132 m,,yes,,380 kWh/m2,,Calculate your monthly installment,1,,,,,,Fuel,,2,"yes, conform",yes,,,9 m2,Semi-equipped,Not specified,,,,yes,46 m2,,,,250 m2,,,2,4,,,,,,South,,,,Not specified,"1,880 m2",,,yes,Not specified,20130903-0001435577-00000001-0 HELP,,"€ 299,000",,,Country,,yes,,,yes,,,,Insure your mortgage loan,2,,Possible flood zone,,23.64,15 m,,,,1969
Kerkstraat 122        | 2870 - Puurs,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,28 m2,23 m2,18 m2,,,3,To be renovated,,,"€ 1,110",yes,,,,,47,,,,,,,,yes,,576 kWh/m2,,Calculate your monthly installment,1,,,yes,90 m2,,Gas,,1,"yes, not conform",,,,22 m2,Installed,"Living area (residential, urban or rural)",,,,yes,73 m2,,,,338 m2,,,2,3,,,,yes,9 m2,North-West,,1,,Not specified,470 m2,,,no,no,20161221-0001920721-1 HELP,,"€ 239,000",,,,1,no,,,yes,20 m2,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,10,10 m,,,,1965
Avenue du Putdael 3        | 1150 - Woluwe-Saint-Pierre,,,,yes,Not specified,Choose your home insurance,,,,,01/05/2018,5,26 m2,19 m2,17 m2,15 m2,,4,As new,,yes,"€ 4,858",yes,,,,,,yes,45 m2,,"1,500 m",,,Parc de Woluwe,yes,,304 kWh/m2,,Calculate your monthly installment,,,,yes,674 m2,,Gas,,2,"yes, conform",,,,20 m2,USA Hyper-equipped,"Living area (residential, urban or rural)",,,,yes,32 m2,,,,335 m2,,,2,4,,,,yes,,,,1,,Not specified,794 m2,,,Not specified,Not specified,,yes,"€ 1,590,000",,,Residential,3,Not specified,yes,,yes,50 m2,,,Insure your mortgage loan,5,,Property located in a non-flood zone,,,9·27 m,,,,1950
Elie Aubinaustraat 29        | 1932 - Zaventem,,,,,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,14 m2,14 m2,15 m2,14 m2,7 m2,5,To be renovated,,yes,€ 899,yes,,,yes,,,yes,14 m2,,500 m,,,Omgeving Kraainem,,,687 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,1,"yes, not conform",,,,7 m2,Uninstalled,Farming area,,,,yes,14 m2,,,,189 m2,,,2,3,,,,yes,,,,,,Not specified,"1,220 m2",,,Not specified,Not specified,2027637 HELP,,"€ 350,000",,,,1,Not specified,,,,,,,Insure your mortgage loan,1,,,,,6 m,,,,
Dendermondsesteenweg 20        | 2830 - Willebroek,,,,,no,Choose your home insurance,,,,,Upon exchange of deeds,1,13 m2,12 m2,,,,2,Good condition,"1,000 kg CO2/m2",,€ 255,,,,,,24,,,,100 m,230 m,74 m,,yes,,164 kWh/m2,,Calculate your monthly installment,,,,yes,27 m2,,Gas,,,"yes, conform",,,,9 m2,Installed,"Living area (residential, urban or rural)",,,,yes,24 m2,,,,120 m2,,,2,2,,,,yes,5 m2,Northeast,,,,no,115 m2,,,no,no,20170628-0001974098-1 HELP,,"€ 195,000",,,,,no,,,yes,10 m2,,,Insure your mortgage loan,2,,Property located in a non-flood zone,,8,8 m,,,,1918
Lode Sobrystraat 58        | 1800 - Vilvoorde,,,,,Not specified,Choose your home insurance,,,"15,656 m2",,,,23 m2,16 m2,13 m2,,,3,Good condition,,yes,€ 981,yes,6 m2,not specified,,,,yes,,,,,,,yes,,329 kWh/m2,,Calculate your monthly installment,,,,,,,Gas,,,,,,,10 m2,Installed,"Living area (residential, urban or rural)",,,,yes,,,,,177 m2,,,1,3,,,,,,South,South,,,no,210 m2,,,no,no,20170808-0001983591-1 HELP,,"€ 275,000",,,Residential,,no,,,yes,,,,Insure your mortgage loan,,,Property located in a non-flood zone,,7.8,5·3 m,,,,1950
Rue de la Place 0        | 1360 - Perwez - Grand-Leez,,,,yes,Not specified,Choose your home insurance,,,,,Upon exchange of deeds,1,25 m2,19 m2,18 m2,11 m2,,4,As new,113 kg CO2/m2,yes,€ 999,yes,16 m2,,yes,,74,yes,31 m2,,,,,Brabant Wallon,yes,,455 kWh/m2,,Calculate your monthly installment,,,,yes,"1,700 m2",,Fuel,,1,"yes, conform",,,,22 m2,USA Installed,"Living area (residential, urban or rural)",,,,yes,128 m2,,,,404 m2,,,3,4,,,,yes,,,,4,,no,"2,066 m2",,,no,no,20130130-0000927983-00000002-0 HELP,,"€ 590,000",,,Residential,,yes,,,yes,130 m2,"250,036 kWh/year",,Insure your mortgage loan,3,,Property located in a non-flood zone,,28,17·2 m,,,,
Rue de la Place 0        | 5030 - Gembloux - Grand-Leez,,,,yes,Not specified,Choose your home insurance,,,,,,1,25 m2,19 m2,18 m2,11 m2,,4,As new,113 kg CO2/m2,yes,€ 999,yes,16 m2,,yes,,74,yes,31 m2,,,,,Province de Namur,yes,,455 kWh/m2,,Calculate your monthly installment,,,,yes,"1,700 m2",,Fuel,,1,"yes, conform",,,,22 m2,USA Installed,"Living area (residential, urban or rural)",,,,yes,128 m2,,,,404 m2,,,3,4,,,,yes,,,,4,,no,"2,066 m2",,,no,no,20130130-0000927983-00000002-0 HELP,,"€ 590,000",,,Residential,,yes,,,yes,130 m2,"250,036 kWh/year",,Insure your mortgage loan,3,,Property located in a non-flood zone,,28,17·2 m,,,,
Rue du Vert Buisson 9 H        | 7951 - Tongre-notre-Dame,,,,,no,Choose your home insurance,,,,,Obligation locative à respecter - Huurovereenkomst,1,13 m2,13 m2,13 m2,,,3,Good condition,86 kg CO2/m2,,€ 516,,,,,,48,,,,"3,000 m","3,000 m",50 m,,yes,,302 kWh/m2,,Calculate your monthly installment,,,,yes,351 m2,,Electric,,1,"yes, conform",,,,8 m2,Installed,"Living area (residential, urban or rural)",,,,yes,23 m2,,,,120 m2,,,,2,,,,,,East,,,,yes,351 m2,,,Not specified,Not specified,20160524030780 HELP,,"€ 195,000",,,,1,Not specified,,,,,"41,040 kWh/year",,Insure your mortgage loan,2,,,,7,7 m,,,,2006
Rue du Château d'Eau 126        | 1180 - Uccle,,,,,,Choose your home insurance,,,,,Immédiatement,4,16 m2,17 m2,10 m2,11 m2,,4,Just renovated,,,,yes,,not specified,yes,,,,,,,,,Lycée Français,,,350 kWh/m2,,Calculate your monthly installment,,,,yes,505 m2,,Gas,,,"yes, conform",,,,,Installed,"Living area (residential, urban or rural)",,,,yes,53 m2,,,,200 m2,,,2,3,,,4,,,East,,1,,Not specified,400 m2,,,no,no,,,"€ 675,000",,,Residential,4,no,,,,,,,Insure your mortgage loan,3,,Property located in a non-flood zone,,,,,,,2017
